keyvalues_Version,ipfs_pin_hash,keyvalues_UnseenAccuracy,keyvalues_type,keyvalues_ntp_tw,keyvalues_scalerLabelEncoder,keyvalues_datasetTraining,keyvalues_model
V05,bafkreib46mmw66eho33tnfz3uh3esfx42scf7aipghztzbbts4abq2s5oe,0.8235294117647058,BorrowPrediction,5-7,"{'ss': 'bafkreicigo3consd2heulvru5k4x77eplso4iwpq2nxkwhjvuvd233cafq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': True, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 276}"
V05,bafybeifkhp5x7d5ko7n5me44zcl7eroijjg3al7kxk5tuffeo7hxblyqhi,0.8235294117647058,BorrowPrediction,5-7,"{'ss': 'bafkreid3msudzukju4e3x36syo6h622mkfnrwh6frb76eyephjpyr252nq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': None, 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 303}"
V05,bafkreicdvql4gsjajzz4kad24j6ynopzakyspuo27vpki2oocea6cfofry,0.8235294117647058,BorrowPrediction,5-7,"{'ss': 'bafkreicigo3consd2heulvru5k4x77eplso4iwpq2nxkwhjvuvd233cafq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': True, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 344}"
V05,bafkreifiqw33zo4o2sv3p2bdrivii2hagmla4qo3qppui5qkfggmw62gui,0.8235294117647058,BorrowPrediction,5-7,"{'ss': 'bafkreicigo3consd2heulvru5k4x77eplso4iwpq2nxkwhjvuvd233cafq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': True, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 265}"
V05,bafkreiacr7lct7hifzkjgvaprjdw7jvrydx4nuxs2jafzcpmwm6gqc7v4y,0.8235294117647058,BorrowPrediction,5-7,"{'ss': 'bafkreicigo3consd2heulvru5k4x77eplso4iwpq2nxkwhjvuvd233cafq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': True, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 269}"
V05,bafkreia2hg42ue6zqk4q3eqw742wnv2hrco7lmm7effj2grku3iaangqmq,0.8235294117647058,BorrowPrediction,5-7,"{'ss': 'bafkreicigo3consd2heulvru5k4x77eplso4iwpq2nxkwhjvuvd233cafq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': True, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 355}"
V05,bafkreifm3c63tfhbjja53jvv7anfkdlebyq4pmdjkzu4a2ulbwvlzodo6e,0.8235294117647058,BorrowPrediction,5-7,"{'ss': 'bafkreicigo3consd2heulvru5k4x77eplso4iwpq2nxkwhjvuvd233cafq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': True, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 299}"
V05,bafkreibbdp7mhula5pa5ypdjcf357wh354lahe76soh66pvbt2x4ihsivm,0.8151260504201681,BorrowPrediction,5-7,"{'ss': 'bafkreicigo3consd2heulvru5k4x77eplso4iwpq2nxkwhjvuvd233cafq', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': True, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': False}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 273}"
V05,bafkreiaqug6rqly56dk3sthqhymedpnr4zvr3jqczehnqrvfqtmpultytm,0.8151260504201681,BorrowPrediction,5-7,"{'ss': 'bafkreih63egljob6ru2a6i5bqbxckm2zr7cjbswoxgtbazpdfghx74kjne', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 34}"
V05,bafybeigeernn7k4iohjtai5cw6kwidgk75o4ck4ca3ehlge5fgmilyphoe,0.8151260504201681,BorrowPrediction,5-7,"{'ss': 'bafkreih63egljob6ru2a6i5bqbxckm2zr7cjbswoxgtbazpdfghx74kjne', 'le': 'bafkreibzscgshq42slwii4ney54sqv75mixfzzmq3hyhonqzfzbauwu4hy'}","{'stratify': False, 'filter_cols': [49, 64, 65, 48, 33, 32, 16, 34, 1, 39, 9, 17, 0, 18, 22, 2, 30, 78, 56, 8], 'smote': True}","{'model_name': 'DecisionTreeClassifier', 'params': ""{'random_state': 42}"", 'index': 393}"
